label,tweetid,date,id,tweet
0,2014150561,Wed Jun 03 00:36:38 PDT 2009,Stu_D0gg,@NEEFFRESH i know where mine is but i dont know why its empty 
0,1834836200,Mon May 18 04:21:29 PDT 2009,Gemmab45,On lunch! Horrible wet day out 
0,2246254953,Fri Jun 19 17:19:21 PDT 2009,pfitzsi,Working this weekend. 
0,2014408004,Wed Jun 03 01:25:50 PDT 2009,Sexinstilettos,About to embark on another lonely night @ casa de mindee. My roomie has a new love interest so no cuddling for me 
0,1678619751,Sat May 02 07:15:34 PDT 2009,1FreakyTwist,sooooo busy lately. the opening of my web site is postponed again 
0,2184906685,Mon Jun 15 16:35:44 PDT 2009,jen729,@jla1119 I haven't even tried cropping mine....it's not worth the time...i wasn't right next to donnie 
0,1558390082,Sun Apr 19 08:13:32 PDT 2009,timhosgood,"phew, back from Spring Harvest *sadface* and lots of work to do  still, Dweeb were awesomely rad! \m/"
0,2046797998,Fri Jun 05 12:42:27 PDT 2009,bmxpyro50cal,Blah time for work 
0,2231115339,Thu Jun 18 18:03:54 PDT 2009,Mister_Showtime,@FuchsiaStiletto I'm up too and very very bored. I can't sleep  say something rude like you usually do.
0,2178551535,Mon Jun 15 07:52:02 PDT 2009,_twilightfan96_,"@archiefan96 poor u! haha, just got bk from town and omg!! i have the biggest sun brun!! "
0,2322532615,Wed Jun 24 22:47:17 PDT 2009,TammyJean,@spicyclubsauce  not cool. cant wait to seeee you ;)
0,2050383089,Fri Jun 05 18:34:16 PDT 2009,Taylor_Abs022,I love the graduation song 
0,1881372744,Fri May 22 04:28:18 PDT 2009,sarahbr89,nuthing im off work sick n board 
0,1880353209,Fri May 22 00:56:37 PDT 2009,megansmithxxx,follow me please  roll on 2night yayyy xxx
0,2205154513,Wed Jun 17 04:05:20 PDT 2009,amyob,@forbiddenlust86 looks like maybe 2 or 3 am tomorrow for us. 
0,2324229307,Thu Jun 25 02:37:25 PDT 2009,Maicalove,Bye! I love you @lek_15_lek I'm gonna mis you 
